Customer;Consumption Category;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30;00:00
158;GC;0,065;0,049;0,05;0,069;0,067;0,046;0,162;0,107;0,095;0,055;0,064;0,07;0,063;0,437;0,806;0,819;0,815;0,794;0,801;0,813;0,129;0,06;0,05;0,057;0,068;0,07;0,052;0,053;0,06;0,07;0,064;0,052;0,052;0,069;0,072;0,426;0,805;0,81;0,821;0,81;0,799;0,81;0,813;0,82;0,801;0,8;0,809;0,52
158;GG;0;0;0;0;0;0;0;0;0;0;0;0;0;0,052;0,176;0,349;0,523;0,683;0,818;0,935;1,041;1,122;1,189;1,234;1,261;1,25;1,247;1,251;1,205;1,161;1,076;0,95;0,83;0,693;0,54;0,37;0,2;0,065;0,014;0,001;0;0;0;0;0;0;0;0
161;GC;0,088;0,113;0,15;0,113;0,088;0,15;0,138;0,1;0,113;0,338;0,619;0,75;0,163;0,225;0,113;0,45;0,288;0,163;0,813;0,85;0,313;0,175;0,163;0,163;0,2;0,175;0,188;0,688;0,75;0,163;0,1;0,825;1,15;0,813;0,175;0,613;0,675;0,9;0,675;0,681;0,2;0,2;0,088;0,125;0,113;0,088;0,125;0,088
161;GG;0;0;0;0;0;0;0;0;0;0;0;0,006;0,163;0,406;0,631;0,844;1,013;1,138;1,238;1,325;1,381;1,419;1,4;1,388;1,425;1,375;1,338;1,263;1,156;0,925;0,894;0,719;0,556;0,338;0,219;0,113;0,094;0,05;0,025;0;0;0;0;0;0;0;0;0
191;GC;0,763;0,731;0,725;0,356;0,257;0,225;0,206;0,206;0,169;0,189;0,181;0,501;1,494;0,875;1,044;1,025;1,563;1,169;1,475;1,1;0,256;0,181;0,206;0,163;0,225;0,256;0,35;0,431;0,394;0,356;0,219;0,231;0,206;0,3;0,288;0,525;1,581;0,55;0,444;0,519;0,619;0,626;0,525;0,456;0,4;0,869;0,864;0,75
191;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,014;0,079;0,265;0,486;0,685;0,87;1,031;1,162;1,269;1,343;1,393;1,431;1,443;1,424;1,407;1,375;1,331;1,236;1,12;1,026;0,927;0,733;0,531;0,325;0,164;0,066;0,019;0,001;0;0;0;0;0;0;0;0
193;GC;0,185;0,183;0,183;0,195;0,195;0,192;0,19;0,153;0,134;0,146;0,193;0,213;0,248;0,228;0,223;0,193;0,187;0,189;0,194;0,242;0,178;0,208;0,211;0,226;0,217;0,18;0,201;0,659;0,245;0,31;0,225;0,274;0,491;0,365;0,262;0,206;0,197;0,191;0,19;0,609;0,489;0,417;0,395;0,378;0,281;0,263;0,244;0,24
193;GG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,184;0,249;0,318;0,388;0,527;0,746;0,939;1,11;1,23;1,279;1,309;1,326;1,33;1,321;1,316;1,328;1,324;1,301;1,251;1,124;0,946;0,731;0,493;0,183;0,016;0;0;0;0;0;0;0;0
248;GG;0;0;0;0;0;0,013;0;0;0;0;0;0;0;0,025;0,038;0,325;0,825;1,588;1,813;2,025;1,888;1,913;2,1;2,175;2,213;2,2;2,138;2,088;2;1,813;1,663;1,475;1,225;0,938;0,638;0,338;0,1;0,025;0;0;0;0;0;0;0,013;0;0;0
248;GC;1,384;0,6;0,373;0,177;0,172;0,206;0,233;0,322;0,188;0,202;0,194;0,321;0,961;0,359;0,177;0,215;0,219;0,344;0,223;0,248;0,224;0,408;0,805;0,818;0,554;0,487;0,179;0,23;0,206;0,319;0,228;0,225;0,213;0,248;0,381;0,559;0,385;0,53;0,556;0,608;0,856;0,733;0,539;0,533;0,258;0,181;0,325;0,256
256;GC;0,24;0,219;0,226;0,188;0,226;0,197;0,218;0,172;0,2;0,191;0,222;0,267;0,229;0,43;0,58;1,225;0,893;0,379;0,223;0,172;0,195;0,154;0,22;0,178;0,19;0,206;0,146;0,209;0,338;0,24;0,25;0,255;0,21;0,191;0,235;0,833;0,389;0,239;0,3;0,517;0,551;0,566;0,559;0,675;1,364;1,024;0,395;0,231
256;GG;0;0;0;0;0;0;0;0;0;0;0;0,006;0,044;0,088;0,088;0,088;0,2;0,45;0,713;0,975;1,206;1,406;1,569;1,706;1,819;1,888;1,95;2;2,031;2,013;1,944;1,881;1,781;1,625;1,431;1,219;0,938;0,65;0,306;0,025;0;0;0;0;0;0;0;0
273;GC;0,082;0,09;0,081;0,085;0,083;0,088;0,084;0,078;0,085;0,088;0,072;0,085;0,09;0,068;0,066;0,115;0,086;0,045;0,073;0,131;0,069;0,045;0,096;0,126;0,045;0,171;0,256;0,147;0,08;0,045;0,1;0,136;0,102;0,045;0,085;0,119;0,07;0,061;0,091;0,118;0,061;0,077;0,095;0,096;0,055;0,093;0,079;0,087
273;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,013;0,044;0,056;0,069;0,113;0,25;0,513;0,769;0,994;1,194;1,35;1,256;1,575;1,656;1,713;1,738;1,7;1,688;1,619;1,563;1,413;1,263;1,088;0,894;0,488;0,45;0,038;0,006;0;0;0;0;0;0;0;0
282;GC;0,075;0,138;0,069;0,131;0,094;0,094;0,125;0,088;0,106;0,125;0,075;0,119;0,088;0,088;0,094;0,075;0,088;0,1;0,069;0,113;0,069;0,1;0,1;0,063;0,125;0,063;0,106;0,088;0,081;0,106;0,088;0,125;0,119;0,15;0,056;0,138;0,069;0,1;0,113;0,056;0,131;0,063;0,1;0,1;0,075;0,112;0,113;0,075
282;GG;0;0;0;0;0;0;0;0;0;0;0;0;0,013;0,094;0,25;0,425;0,594;0,744;0,881;1,006;1,1;1,175;1,231;1,25;1,256;1,294;1,275;1,225;1,194;1,138;1,006;0,956;0,781;0,513;0,369;0,213;0,131;0,075;0,025;0;0;0;0;0;0;0;0;0
289;GC;0,389;0,81;0,798;0,874;0,83;0,838;0,797;0,801;0,803;0,803;0,795;0,806;0,631;0,191;0,191;0,22;0,389;0,517;0,314;0,237;0,268;0,221;0,339;0,294;0,257;0,467;0,231;0,229;0,211;0,319;0,318;0,289;0,319;0,376;0,299;0,201;0,262;0,23;0,229;0,187;0,192;0,191;0,195;0,229;0,369;0,344;0,343;0,324
289;GG;0;0;0;0;0;0;0,006;0;0;0;0;0;0,031;0,094;0,175;0,419;0,856;1,25;1,538;1,756;2;2,156;2,275;2,369;2,438;2,481;2,475;2,431;2,344;2,181;2,05;1,844;1,613;1,319;1,025;0,7;0,406;0,194;0,075;0,019;0;0;0;0;0;0;0;0,006
